Reference, Quantity, Value,MPN,Digikey Part Number,Price,Total Price,Part Page, Footprint, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
C11 ,1,47nF,,,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,,,,,,,,,
C12 ,1,10nF,,,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,,,,,,,,,
C2 C1 ,2,22pF,,,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,,,,,,,,,
C4 C3 C5 C14 C15 C21 C16 C22 C8 C10 C18 C23 C13 C17 C9 C19 C20 C24 ,18,100nF,C320C104J5R5TA,399-9775-ND,$0.48,,https://www.digikey.com/product-detail/en/kemet/C320C104J5R5TA/399-9775-ND/3726074,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,,,,,,,,,
C6 ,1,10uF,,,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,,,,,,,,,
C7 ,1,10uF,,,,,,Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm,,,,,,,,,
D1 D2 D3 D4 ,4,D,,,,,,digikey-footprints:Diode_DO-35_P10mm,,,,,,,,,
J1 ,1,USB-SS-52100-001,SS-52100-001,380-1412-ND,$0.44,,https://www.digikey.com/products/en?keywords=380-1412-ND,KiCad:USB_A_Stewart_SS-52100-001_Horizontal,"Connectors, Interconnects",,https://www.digikey.com/product-detail/en/stewart-connector/SS-52100-001/380-1412-ND/7902377,CONN RCPT USB2.0 TYPEA 4POS R/A,380-1412-ND,"USB, DVI, HDMI Connectors",SS-52100-001,Stewart Connector,Active
Q1 ,1,PN2222A,,,,,,Package_TO_SOT_THT:TO-92_Inline_Wide,,,,,,,,,
R10 ,1,10K,,,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,,,,,,
R11 ,1,5.1K,,,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,,,,,,
R3 ,1,330k,SFR2500003303JA500,BC4849CT-ND,$0.13,,https://www.digikey.com/product-detail/en/vishay-bc-components/SFR2500003303JA500/BC4849CT-ND/7352279,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,,,,,,
R4 ,1,10M,CF14JT10M0,CF14JT10M0CT-ND,$0.10,,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT10M0/CF14JT10M0CT-ND/1830444,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,,,,,,
